x,y,dir,ref,pt
-8,-43.3012701892,0,False,7
-17,-38.1051177665,10,False,3
-17,-38.1051177665,0,True,11
-17,-36.3730669589,2,False,7
-17,-38.1051177665,0,False,7
-18.5,-38.9711431703,10,False,7
-23,-39.8371685741,8,False,7
-23,-38.1051177665,6,False,7
-21.5,-40.7031939779,10,False,7
-3.5,-30.3108891325,2,False,3
-3.5,-30.3108891325,8,True,11
-5,-31.1769145362,6,False,7
-3.5,-30.3108891325,4,False,7
-2,-31.1769145362,2,False,7
1,-34.6410161514,0,False,7
-0.5,-35.5070415552,10,False,7
1,-32.9089653438,2,False,7
-53,-1.73205080757,6,False,3
-53,-1.73205080757,4,True,11
-51.5,-2.59807621135,10,False,7
-53,-1.73205080757,8,False,7
-53,1.44328993201e-15,6,False,7
-51.5,4.33012701892,4,False,7
-50,3.46410161514,2,False,7
-56,-8.66025403784,10,False,3
-56,-8.66025403784,0,True,11
-56,-6.92820323028,2,False,7
-56,-8.66025403784,0,False,7
-57.5,-9.52627944163,10,False,7
-62,-10.3923048454,8,False,7
-62,-8.66025403784,6,False,7
-60.5,-11.2583302492,10,False,7
-60.5,-0.866025403784,8,False,3
-60.5,-0.866025403784,2,True,11
-59,7.77156117238e-16,0,False,7
-60.5,-0.866025403784,10,False,7
-62,2.22044604925e-16,8,False,7
-65,3.46410161514,6,False,7
-63.5,4.33012701892,4,False,7
-65,1.73205080757,8,False,7
-56,6.92820323028,6,False,3
-56,6.92820323028,4,True,11
-54.5,6.06217782649,10,False,7
-56,6.92820323028,8,False,7
-56,8.66025403784,6,False,7
-54.5,12.9903810568,4,False,7
-53,12.124355653,2,False,7
-56,12.124355653,6,False,7
-50,19.0525588833,4,False,3
-50,19.0525588833,6,True,11
-50,17.3205080757,8,False,7
-50,19.0525588833,6,False,7
-48.5,19.918584287,4,False,7
-44,20.7846096908,2,False,7
-44,19.0525588833,0,False,7
-45.5,21.6506350946,4,False,7
-45.5,11.2583302492,2,False,3
-45.5,11.2583302492,8,True,11
-47,10.3923048454,6,False,7
-45.5,11.2583302492,4,False,7
-44,10.3923048454,2,False,7
-41,6.92820323028,0,False,7
-42.5,6.06217782649,10,False,7
-41,8.66025403784,2,False,7
-59,19.0525588833,6,False,3
-59,19.0525588833,4,True,11
-57.5,18.1865334795,10,False,7
-59,19.0525588833,8,False,7
-59,20.7846096908,6,False,7
-57.5,25.1147367097,4,False,7
-56,24.248711306,2,False,7
-59,24.248711306,6,False,7
-35,55.4256258422,10,False,3
-35,55.4256258422,0,True,11
-35,57.1576766498,2,False,7
-35,55.4256258422,0,False,7
-36.5,54.5596004384,10,False,7
-41,53.6935750346,8,False,7
-41,55.4256258422,6,False,7
-27.5,56.291651246,2,False,3
-27.5,56.291651246,8,True,11
-29,55.4256258422,6,False,7
-27.5,56.291651246,4,False,7
-26,55.4256258422,2,False,7
-23,51.9615242271,0,False,7
-24.5,51.0954988233,10,False,7
-23,53.6935750346,2,False,7
-32,48.4974226119,0,False,3
-32,48.4974226119,10,True,11
-33.5,49.3634480157,4,False,7
-32,48.4974226119,2,False,7
-32,46.7653718044,0,False,7
-33.5,42.4352447854,10,False,7
-35,43.3012701892,8,False,7
-32,43.3012701892,0,False,7
-41,48.4974226119,10,False,3
-41,48.4974226119,0,True,11
-41,50.2294734195,2,False,7
-41,48.4974226119,0,False,7
-42.5,47.6313972081,10,False,7
-47,46.7653718044,8,False,7
-47,48.4974226119,6,False,7
-45.5,45.8993464006,10,False,7
-54.5,47.6313972081,8,False,3
-54.5,47.6313972081,2,True,11
-53,48.4974226119,0,False,7
-54.5,47.6313972081,10,False,7
-56,48.4974226119,8,False,7
-59,51.9615242271,6,False,7
-57.5,52.8275496309,4,False,7
-59,50.2294734195,8,False,7
-50,55.4256258422,6,False,3
-50,55.4256258422,4,True,11
-48.5,54.5596004384,10,False,7
-50,55.4256258422,8,False,7
-50,57.1576766498,6,False,7
-48.5,61.4878036687,4,False,7
-47,60.6217782649,2,False,7
-50,60.6217782649,6,False,7
-15.5,52.8275496309,2,False,3
-15.5,52.8275496309,8,True,11
-17,51.9615242271,6,False,7
-15.5,52.8275496309,4,False,7
-14,51.9615242271,2,False,7
